# Haivino — Change Log
# Format: YYYY-MM-DD HH:MM | ACTION | path | short reason
# Actions: CREATE | UPDATE | RENAME | DELETE
# Append-only. One line per file change. See .cursor/rules/change-log.mdc

2026-06-15 11:06 | CREATE | media/placeholders/placeholder-interior.png | AI cartoon placeholder: cozy wine bistrot interior with bottle wall
2026-06-15 11:06 | CREATE | media/photos/.gitkeep | reserve folder for real HAiViNO photos
2026-06-15 11:06 | CREATE | media/README.md | document media folder structure, placeholders, and naming convention
2026-06-15 11:06 | UPDATE | README.md | add media/ to structure tree and note placeholders in roadmap step 3
2026-06-15 11:06 | UPDATE | AGENTS.md | add media/ to quick pointers
2026-06-15 11:13 | CREATE | PREREQUISITES.md | tracker of blocking decisions and pre-launch assets; RO+EN languages confirmed
2026-06-15 11:13 | UPDATE | README.md | link PREREQUISITES.md, record RO+EN language decision
2026-06-15 11:13 | UPDATE | AGENTS.md | record RO+EN languages and point to PREREQUISITES.md
2026-06-15 11:14 | UPDATE | PREREQUISITES.md | decision: devs-only content editing (static-site path)
2026-06-15 11:14 | UPDATE | AGENTS.md | record devs-only content model decision
2026-06-15 11:15 | UPDATE | PREREQUISITES.md | decision: monthly budget €10-20/month
2026-06-15 11:15 | UPDATE | AGENTS.md | record €10-20/month budget envelope
2026-06-15 11:16 | UPDATE | PREREQUISITES.md | decision: reservation = phone + form (phase 1), SaaS widget later
2026-06-15 11:16 | UPDATE | AGENTS.md | record phased reservation strategy (phone + form first)
2026-06-15 11:17 | UPDATE | PREREQUISITES.md | decision: domain haivino.ro owned; hosting recommendation Cloudflare Pages (pending)
2026-06-15 11:17 | UPDATE | utils/contacts.json | add website https://haivino.ro to links
2026-06-15 11:17 | UPDATE | AGENTS.md | record haivino.ro domain and Cloudflare Pages hosting recommendation
2026-06-15 11:27 | UPDATE | PREREQUISITES.md | hosting decision deferred by owner; flagged to revisit next session
2026-06-15 11:27 | UPDATE | AGENTS.md | mark hosting deferred; do not scaffold until decided
2026-06-15 11:31 | UPDATE | PREREQUISITES.md | hosting strategy: phase-1 GitHub Pages (default URL), phase-2 host TBD; scaffolding unblocked
2026-06-15 11:31 | UPDATE | AGENTS.md | lift scaffolding guard; record phased hosting (GH Pages now, real host later)
2026-06-15 11:55 | CREATE | package.json | Astro 5 + Tailwind v4 + TypeScript dependencies and npm scripts
2026-06-15 11:55 | CREATE | astro.config.mjs | Astro config: i18n (RO default, EN under /en/), env-driven SITE and BASE_PATH
2026-06-15 11:55 | CREATE | tsconfig.json | TS strict, path aliases ~/* and @contacts, JSON imports
2026-06-15 11:55 | CREATE | .gitignore | ignore dist/, node_modules/, .env, editor/OS files
2026-06-15 11:55 | CREATE | .nvmrc | pin Node 22 for local dev and CI
2026-06-15 11:55 | CREATE | src/styles/global.css | Tailwind v4 entry + brand tokens (@theme) + marquee animation
2026-06-15 11:55 | CREATE | src/i18n/ro.json | all Romanian copy (meta, nav, home, about, menu, contact, footer)
2026-06-15 11:55 | CREATE | src/i18n/en.json | all English copy mirror of ro.json
2026-06-15 11:55 | CREATE | src/i18n/utils.ts | t(), routes, localeUrl(), otherLocale() helpers
2026-06-15 11:55 | CREATE | src/data/contacts.ts | typed re-export of utils/contacts.json
2026-06-15 11:55 | CREATE | src/components/Layout.astro | base html shell with header/footer/CTA + meta
2026-06-15 11:55 | CREATE | src/components/Header.astro | sticky nav, mobile bar, language switcher
2026-06-15 11:55 | CREATE | src/components/Footer.astro | contact card, hours, links, legal
2026-06-15 11:55 | CREATE | src/components/Marquee.astro | CSS-only horizontal ticker band, variants burgundy/cream
2026-06-15 11:55 | CREATE | src/components/BookingCTA.astro | sticky bilingual tap-to-call button
2026-06-15 11:55 | CREATE | src/components/ValueQuartet.astro | 4-card responsive value proposition section
2026-06-15 11:55 | CREATE | src/components/pages/HomeContent.astro | home body: hero+marquee+intro+quartet+atmosphere
2026-06-15 11:55 | CREATE | src/components/pages/AboutContent.astro | about body: hero, story, values
2026-06-15 11:55 | CREATE | src/components/pages/MenuContent.astro | menu body: placeholder sections + allergen note
2026-06-15 11:55 | CREATE | src/components/pages/ContactContent.astro | contact body: address/phone/hours + disabled form
2026-06-15 11:55 | CREATE | src/pages/index.astro | RO home route
2026-06-15 11:55 | CREATE | src/pages/despre.astro | RO about route
2026-06-15 11:55 | CREATE | src/pages/meniu.astro | RO menu route
2026-06-15 11:55 | CREATE | src/pages/contact.astro | RO contact route
2026-06-15 11:55 | CREATE | src/pages/en/index.astro | EN home route
2026-06-15 11:55 | CREATE | src/pages/en/about.astro | EN about route
2026-06-15 11:55 | CREATE | src/pages/en/menu.astro | EN menu route
2026-06-15 11:55 | CREATE | src/pages/en/contact.astro | EN contact route
2026-06-15 11:55 | CREATE | public/favicon.svg | placeholder brand favicon (wine glass + gold arc)
2026-06-15 11:55 | CREATE | .github/workflows/deploy.yml | GitHub Actions build & deploy to GitHub Pages
2026-06-15 11:55 | CREATE | SITE.md | dev / build / deploy guide with phase-2 migration plan
2026-06-15 11:55 | UPDATE | README.md | reflect scaffolded status, quick start, new tree, roadmap progress
2026-06-15 11:55 | UPDATE | AGENTS.md | scaffolded phase, stack conventions, new quick-pointer entries
2026-06-15 11:55 | UPDATE | PREREQUISITES.md | add "project scaffolded" checkmark to already-in-place list
2026-06-15 14:13 | UPDATE | .github/workflows/deploy.yml | configure-pages enablement: true so workflow self-bootstraps Pages
2026-06-15 14:13 | UPDATE | SITE.md | document self-bootstrapping Pages deploy (no manual Settings toggle)
2026-06-15 14:35 | CREATE | media/placeholders/placeholder-people.png | cartoon of friends toasting wine for hero
2026-06-15 14:35 | UPDATE | src/components/pages/HomeContent.astro | add people cartoon next to hero title (2-col on md+)
2026-06-15 14:42 | UPDATE | media/placeholders/placeholder-people.png | redraw with all four glasses clearly raised in a toast
2026-06-15 14:49 | UPDATE | media/placeholders/placeholder-people.png | fix 2nd-from-left person to show her arm raised holding her glass
2026-06-15 14:58 | UPDATE | src/components/pages/HomeContent.astro | revert hero to single-image (placeholder-hero only); add solid burgundy fallback + gradient overlay + text shadow for guaranteed readability
2026-06-15 15:03 | UPDATE | src/components/BookingCTA.astro | mute booking pill (placeholder state) + add cream ring so it stands out on burgundy backgrounds
2026-06-15 15:17 | UPDATE | src/components/Footer.astro | fix broken footer nav links — use localeUrl() helper instead of brittle manual concatenation (was 404'ing when BASE_URL lacked trailing slash)
